2014/10/12 11:09:19.189 Info   Starting JoyToKey Ver5.6
2014/10/12 11:09:19.190 Info   ExeFile=D:\_projects\tumbagames\brutalbattle\deploy\JoyToKey.exe
2014/10/12 11:09:19.190 Info   ConfigDir=D:\_projects\tumbagames\brutalbattle\deploy\
2014/10/12 11:09:19.190 Info   IniFile=D:\_projects\tumbagames\brutalbattle\deploy\JoyToKey.ini
2014/10/12 11:09:19.190 Info   Windows Version = 6.2
2014/10/12 11:09:19.190 Info   Loaded VistaAPI.dll (Utils\Utils.cpp#199)
2014/10/12 11:09:19.190 Info   LicenseKey "" is not valid
2014/10/12 11:09:19.260 Info   Found a joystick: {C7BD7180-408B-11E3-8001-444553540000}, 4-Axis,12-Button with POV, 4-Axis,12-Button with POV
2014/10/12 11:09:19.260 Info   Preferred number = -1
2014/10/12 11:09:19.260 Info   numAxis = 4
2014/10/12 11:09:19.260 Info   numPOVs = 1
2014/10/12 11:09:19.260 Info   numButtons = 12
2014/10/12 11:09:19.260 Info   EnumDeviceObject: Axis offset=0 type=202 name=Dial
2014/10/12 11:09:19.260 Info   EnumDeviceObject: Axis offset=4 type=502 name=Z Rotation
2014/10/12 11:09:19.260 Info   EnumDeviceObject: Axis offset=8 type=102 name=Y Axis
2014/10/12 11:09:19.260 Info   EnumDeviceObject: Axis offset=12 type=2 name=X Axis
2014/10/12 11:09:19.261 Info   DetectJoysticks: Detected 1 joystick(s)
2014/10/12 11:09:19.264 Info   Joystick 1: 4-Axis,12-Button with POV
2014/10/12 11:09:19.264 Info   1 joysticks are detected (Joystick.cpp#109)
2014/10/12 11:09:19.264 Info   ConfigDir=D:\_projects\tumbagames\brutalbattle\deploy\*.cfg (ConfigFileManager.cpp#43)
2014/10/12 11:09:19.265 Info   Failed to find AppLink.dat (AppLink\AppLinkManager.cpp#32)
2014/10/12 11:09:19.276 Info   TimerInit: Initializing timer with x1 speed mode (interval = 16 msec)
2014/10/12 11:16:34.540 Error  Access is denied.
 (Utils\Utils.cpp#446)
2014/10/12 11:16:41.164 Error  Access is denied.
 (Utils\Utils.cpp#446)
2014/10/12 11:19:44.201 Info   Application terminated (Utils\LogFile.cpp#20)
